video_name,xmin,xmax,clr_score,reg_score,label
v_CSruNOwxCRY,0.15,0.97,0.59210515,0.2518177032470703,Croquet
v_nQQ-tcG6wBA,0.0,0.99,0.18320121,0.08221567,Playing badminton
v_wtoKUYBw9f4,0.15,0.86,0.59778917,0.7186675071716309,High jump
v_A7ER02-zr54,0.0,0.99,0.009522403,0.00038460098,Using the monkey bar
v_cIRMaWUTHuk,0.0,0.99,0.5745843,0.15690338611602783,Preparing pasta
v_O_e0pqEMZMw,0.0,0.99,0.010432583,0.00038460855,Walking the dog
v_wtoKUYBw9f4,0.8,0.84,0.59582263,0.6380401253700256,High jump
v_ItukN-TWrJM,0.49,0.76,0.59467584,0.14667142927646637,Preparing pasta
v_y2jDV7tFUXg,0.0,0.98,0.44159025,0.36906186,Rafting
v_CRDBKk44RWg,0.1,0.97,0.5913843,0.29273542761802673,Playing beach volleyball
v_Z47QGlaQ1NE,0.0,0.99,0.5840526,0.821453869342804,High jump
v_Zc7uU4Qwolc,0.0,0.99,0.010139248,0.00038501382,Playing violin
v_bnQVFmXUx_U,0.0,0.99,0.021606134,0.0010344235,Preparing pasta
v_z-iuSgXKUcw,0.25,0.84,0.6569449,0.5938993692398071,Playing violin
v_AGjhryYGVs4,0.05,0.97,0.6019463,0.9208453893661499,Rafting
v_CSruNOwxCRY,0.11,0.97,0.54908615,0.2518177032470703,Croquet
v_IMto8gJvRek,0.0,0.99,0.025830379,0.00095335447,Drinking coffee
v_LIJBolW8k5o,0.0,0.99,0.019589437,0.00096147304,Rafting
v_MOvLBw1EzmI,0.0,0.99,0.573639,0.4983847141265869,Mowing the lawn
v_hRuHqoXEvsI,0.0,0.99,0.101100266,0.016621685,Playing badminton
v_00KMCm2oGhk,0.2,0.97,0.56428874,0.3515952229499817,Using the monkey bar
v_CRDBKk44RWg,0.1,0.97,0.57753104,0.29273542761802673,Playing beach volleyball
v_dJknA-jTNGc,0.05,0.49,0.5477968,0.8306601047515869,Rafting
v_Eu3QFCldg0s,0.0,0.99,0.5201545,0.019623499363660812,Walking the dog
v_47OMV7rZrQA,0.2,0.88,0.5617765,0.2867378294467926,Using parallel bars
v_Zc8zn0sKfwo,0.15,0.8,0.5721791,0.2739618122577667,Preparing pasta
v_whJ6ESGNoyY,0.0,0.99,0.61492145,0.26421990990638733,Walking the dog
v_wtoKUYBw9f4,0.09,0.87,0.6398529,0.7186675071716309,High jump
v_IxaoK4TbALQ,0.0,0.99,0.010321827,0.00038494632,Grooming horse
v_SL7iKDqir6g,0.0,0.99,0.68549395,0.2507295608520508,Preparing pasta
v_dJknA-jTNGc,0.0,0.99,0.4726915,0.6911482,Rafting
v_UHNUmpx0nww,0.0,0.99,0.53716195,0.06832566112279892,High jump
v_vigHVj40dO4,0.0,0.99,0.11369827,0.029884735,Mowing the lawn
v_9gU5be5YCVw,0.0,0.99,0.38562834,0.43924782,Using parallel bars
v_ItukN-TWrJM,0.0,0.99,0.09011982,0.017661396,Preparing pasta
v_SL7iKDqir6g,0.0,0.99,0.14797498,0.008578845,Preparing pasta
v_x2xC5lm0cZw,0.0,0.99,0.020891702,0.0008847773,Mowing the lawn
v_47OMV7rZrQA,0.0,0.99,0.17587684,0.049153626,Using parallel bars
v_iHO42zwYsu0,0.0,0.99,0.54947215,0.02664714865386486,Blowing leaves
v_whJ6ESGNoyY,0.15,0.43,0.56162435,0.26421990990638733,Walking the dog
v_wtoKUYBw9f4,0.15,0.84,0.59778917,0.6380401253700256,High jump
v__ZiTTLhXjZQ,0.24,0.91,0.5377484,0.4991201162338257,Cricket
v_mjKcoY18QG0,0.0,0.99,0.079777874,0.010124647,Tai chi
v_EYIYohKR0Qo,0.0,0.99,0.54065716,0.11195772141218185,Playing badminton
v_y2jDV7tFUXg,0.0,0.99,0.6547136,0.6744785308837891,Rafting
v_8wB0BOjuyes,0.0,0.99,0.5148812,0.020149001851677895,Using the monkey bar
v_x2xC5lm0cZw,0.0,0.99,0.019407537,0.0011478275,Mowing the lawn
v_QMm6gYzsMw8,0.0,0.99,0.58663446,0.33385223150253296,Zumba
v_kuv1yEeNQzQ,0.0,0.99,0.5244816,0.019621936604380608,Cricket
v_sY31L_r7dsk,0.0,0.99,0.046132028,0.0061804205,Preparing pasta
v_oUdEoaKDHpA,0.01,0.98,0.04009735,0.0013803411,Using the monkey bar
v_N-LaOcSqZaM,0.0,0.99,0.5660523,0.37211665511131287,Cricket
v_oUdEoaKDHpA,0.0,0.99,0.039465692,0.002112219,Using the monkey bar
v_UHNUmpx0nww,0.0,0.99,0.039332524,0.0024763197,High jump
v_lPCl1ZYH2xI,0.17,0.98,0.56070846,0.4261328876018524,Mowing the lawn
v_Yd3G3732WbI,0.0,0.99,0.44976962,0.01962064765393734,Wrapping presents
v_UHNUmpx0nww,0.0,0.99,0.57566255,0.06832566112279892,High jump
v_dJknA-jTNGc,0.05,0.57,0.5409765,0.8372235298156738,Rafting
v_gd7SO0TQ-sY,0.61,0.76,0.5496856,0.39286869764328003,Rafting
v_HuUIIKA3o_A,0.0,0.99,0.013251818,0.000523626,Mowing the lawn
v_9cJi1iD7Iyo,0.0,0.99,0.017997019,0.00075929647,Playing polo
v_i0Z8I2WCLNk,0.0,0.99,0.5036669,0.019622676074504852,Blowing leaves
v_SqIVJrXxO3g,0.11,0.87,0.55034655,0.26717087626457214,Rafting
v_IMto8gJvRek,0.0,0.99,0.023966677,0.0009234493,Drinking coffee
v_47OMV7rZrQA,0.02,0.93,0.048397742,0.022891812,Using parallel bars
v_CSruNOwxCRY,0.0,0.99,0.5832467,0.2518177032470703,Croquet
v_9gU5be5YCVw,0.05,0.97,0.6303319,0.6810128688812256,Using parallel bars
v_ItukN-TWrJM,0.49,0.76,0.5519095,0.14667142927646637,Preparing pasta
v_JMpwIWxoB5s,0.0,0.99,0.041118912,0.0015501337,Making a lemonade
v_mjKcoY18QG0,0.0,0.98,0.09211876,0.014381744,Tai chi
v_K2Pws9z20Do,0.05,0.91,0.6316717,0.2388271540403366,Breakdancing
v_SL7iKDqir6g,0.0,0.99,0.1712782,0.012732863,Preparing pasta
v_4x0LdQRN248,0.0,0.99,0.010042696,0.0003842944,Fixing the roof
v_kHBTnFweJfw,0.0,0.99,0.11843156,0.008367438,Croquet
v_CSruNOwxCRY,0.15,0.97,0.6439877,0.2518177032470703,Croquet
v__ZiTTLhXjZQ,0.09,0.98,0.5800789,0.4991201162338257,Cricket
v_K2Pws9z20Do,0.05,0.73,0.6316717,0.2388271540403366,Breakdancing
v_y2jDV7tFUXg,0.11,0.91,0.5330588,0.6744785308837891,Rafting
v_D-wP7_1A_Kw,0.26,0.36,0.5581163,0.12830697000026703,Cricket
v_Mpph0kFsyZ0,0.22,0.77,0.55631477,0.31437528133392334,Cricket
v_CQocaUwWcQI,0.4,0.65,0.57819635,0.1975947618484497,High jump
v_ED7SKNfAKyI,0.19,0.97,0.5336209,0.27505606412887573,Playing badminton
v_IMto8gJvRek,0.0,0.99,0.027283704,0.0016863002,Drinking coffee
v_MMVfzKCnpnI,0.0,0.99,0.14592074,0.060645923,Using the monkey bar
v_RIr3Y2XS5NA,0.0,0.99,0.58837575,0.7838572263717651,Rafting
v_RTM6iJxc-G0,0.0,0.99,0.083330624,0.014477424,Croquet
v_idTzZaMtGy8,0.34,0.49,0.5170289,0.5177844762802124,Cricket
v_y2jDV7tFUXg,0.0,0.99,0.36351287,0.41711837,Rafting
v_nQQ-tcG6wBA,0.01,0.98,0.08685688,0.032571133,Playing badminton
v_D-wP7_1A_Kw,0.0,0.99,0.07344859,0.016395548,Cricket
v_xunKd050v7U,0.0,0.99,0.5537883,0.01962164416909218,Walking the dog
v_8wB0BOjuyes,0.0,0.99,0.48497182,0.020149001851677895,Using the monkey bar
v_CSruNOwxCRY,0.15,0.97,0.5577781,0.2518177032470703,Croquet
v_PEpfA3L4m20,0.0,0.99,0.008372925,0.00038480866,Blowing leaves
v_dJknA-jTNGc,0.05,0.57,0.63240147,0.8372235298156738,Rafting
v_sy-xNiKnfBU,0.0,0.99,0.60407096,0.74728924036026,Waterskiing
v_D-wP7_1A_Kw,0.0,0.99,0.64866906,0.1305137276649475,Cricket
v_RIr3Y2XS5NA,0.0,0.99,0.5802021,0.7838572263717651,Rafting
v_RIr3Y2XS5NA,0.05,0.87,0.56111217,0.7838572263717651,Rafting
v_Auy0KGsXAIg,0.0,0.99,0.47387907,0.01962389424443245,Mowing the lawn
v_RIr3Y2XS5NA,0.0,0.99,0.5777218,0.7838572263717651,Rafting
v_4x0LdQRN248,0.0,0.99,0.010173058,0.0003842944,Fixing the roof
v_Z47QGlaQ1NE,0.11,0.97,0.6412935,0.821453869342804,High jump
v_tAgVokWkdnQ,0.0,0.99,0.050677255,0.006446462,Playing badminton
v_JMpwIWxoB5s,0.0,0.99,0.03494428,0.0013164019,Making a lemonade
v_N-LaOcSqZaM,0.05,0.98,0.5979101,0.37211665511131287,Cricket
v_i0Z8I2WCLNk,0.0,0.99,0.5231151,0.019622676074504852,Blowing leaves
v_Yd3G3732WbI,0.0,0.99,0.010767795,0.00038463404,Wrapping presents
v_Zc8zn0sKfwo,0.0,0.99,0.57339644,0.2739618122577667,Preparing pasta
v_dJknA-jTNGc,0.05,0.9,0.52834946,0.8372235298156738,Rafting
v_6J0IdWi4O0Q,0.09,0.86,0.65732306,0.2600780129432678,Croquet
v_iHO42zwYsu0,0.0,0.99,0.014286236,0.00071007054,Blowing leaves
v_tjEMbP2SODQ,0.0,0.99,0.040565155,0.001805845,Playing badminton
v_BSKolF3MMe4,0.29,0.97,0.6183239,0.30373862385749817,Mowing the lawn
v_cIRMaWUTHuk,0.01,0.98,0.10579246,0.021208268,Preparing pasta
v_9cJi1iD7Iyo,0.0,0.99,0.54373777,0.03454131260514259,Playing polo
v_MMVfzKCnpnI,0.05,0.97,0.5422213,0.271197646856308,Using the monkey bar
v_ujltXvkQK_g,0.0,0.99,0.0105144875,0.00038469196,Cricket
v_9cJi1iD7Iyo,0.0,0.99,0.5171803,0.03454131260514259,Playing polo
v_Z47QGlaQ1NE,0.0,0.99,0.61505604,0.821453869342804,High jump
v_re4vD9S8ThA,0.05,0.97,0.5588422,0.26144230365753174,Using the monkey bar
v_O1z0Q-3OUg0,0.0,0.99,0.010104527,0.0003848463,Preparing pasta
v_lPCl1ZYH2xI,0.17,0.98,0.55545765,0.4261328876018524,Mowing the lawn
v__ZiTTLhXjZQ,0.24,0.91,0.5367627,0.4991201162338257,Cricket
v_sY31L_r7dsk,0.0,0.99,0.618432,0.07861565053462982,Preparing pasta
v_RIr3Y2XS5NA,0.05,0.87,0.6051878,0.7838572263717651,Rafting
v_00KMCm2oGhk,0.93,0.95,0.53890496,0.3515952229499817,Using the monkey bar
v_47OMV7rZrQA,0.25,0.8,0.6208787,0.2867378294467926,Using parallel bars
v_idTzZaMtGy8,0.25,0.51,0.58543193,0.5177844762802124,Cricket
v_hRuHqoXEvsI,0.0,0.99,0.5711364,0.17591828107833862,Playing badminton
v__ZiTTLhXjZQ,0.24,0.91,0.54861295,0.4991201162338257,Cricket
v_wtoKUYBw9f4,0.25,0.84,0.6117043,0.6380401253700256,High jump
v_QCeGGnd4QB0,0.0,0.99,0.5530947,0.6369070410728455,Playing badminton
v_8wB0BOjuyes,0.0,0.99,0.009949656,0.000395386,Using the monkey bar
v_Zc8zn0sKfwo,0.15,0.93,0.56180763,0.2739618122577667,Preparing pasta
v_9cJi1iD7Iyo,0.0,0.99,0.015779663,0.0006488282,Playing polo
v_AGjhryYGVs4,0.0,0.99,0.48915502,0.7406098,Rafting
v_AGjhryYGVs4,0.0,0.99,0.53632975,0.7997482,Rafting
v_IxaoK4TbALQ,0.0,0.99,0.009851031,0.00038494632,Grooming horse
v_rwxSphRRIL8,0.0,0.99,0.52535534,0.019621724262833595,Preparing salad
v_gd7SO0TQ-sY,0.38,0.81,0.61768025,0.39286869764328003,Rafting
v_JhihdPxI_Xc,0.0,0.99,0.6825674,0.10954952239990234,Using the monkey bar
v_Mpph0kFsyZ0,0.36,0.38,0.59961,0.24653808772563934,Cricket
v_whJ6ESGNoyY,0.15,0.66,0.546643,0.26421990990638733,Walking the dog
v_47OMV7rZrQA,0.2,0.88,0.5393862,0.2867378294467926,Using parallel bars
v_F7u4kpwhs5g,0.0,0.99,0.55697143,0.38038650155067444,High jump
v_UHNUmpx0nww,0.0,0.99,0.037778962,0.0031863684,High jump
v_xKLnBh0zmL4,0.05,0.93,0.5623488,0.7652837634086609,Using parallel bars
v_BrgYIg6UXhU,0.0,0.99,0.5682047,0.09182586520910263,Mowing the lawn
v_ED7SKNfAKyI,0.0,0.99,0.16720791,0.030140486,Playing badminton
v_zwFxq1MnaO0,0.05,0.93,0.59587204,0.6423729658126831,Zumba
v_bnQVFmXUx_U,0.0,0.99,0.5268551,0.03698335215449333,Preparing pasta
v_CSruNOwxCRY,0.15,0.97,0.5733873,0.2518177032470703,Croquet
v_N-LaOcSqZaM,0.05,0.98,0.5585692,0.37211665511131287,Cricket
v_ItukN-TWrJM,0.0,0.99,0.60108846,0.14667142927646637,Preparing pasta
v_Yi3xUQcaOnE,0.09,0.98,0.60965836,0.42492401599884033,Rafting
v_PMdba6f_cho,0.31,0.85,0.5437518,0.2975817918777466,Waterskiing
v_IxaoK4TbALQ,0.0,0.99,0.5318514,0.01962011680006981,Grooming horse
v_dJknA-jTNGc,0.05,0.7,0.52834946,0.8372235298156738,Rafting
v_v621l04N1QQ,0.29,0.88,0.5771252,0.1600520759820938,Rafting
v_wtoKUYBw9f4,0.93,0.98,0.011808613,0.00978473,High jump
v_cGoj8xGxrG0,0.0,0.99,0.5198781,0.01962248608469963,Croquet
v_lPCl1ZYH2xI,0.17,0.98,0.5495728,0.4261328876018524,Mowing the lawn
v_EXUKhI7WTqo,0.0,0.99,0.0462576,0.0030678397,Playing polo
v_naCGjbEz1T8,0.0,0.99,0.22410497,0.11633093,Having an ice cream
v_F7u4kpwhs5g,0.05,0.97,0.5736505,0.38038650155067444,High jump
v_whJ6ESGNoyY,0.15,0.66,0.5426341,0.26421990990638733,Walking the dog
v_tjEMbP2SODQ,0.0,0.99,0.58498657,0.0720883384346962,Playing badminton
v_bnQVFmXUx_U,0.0,0.99,0.019660605,0.0007256748,Preparing pasta
v_gd7SO0TQ-sY,0.0,0.99,0.22275254,0.10980042,Rafting
v_C03QJbrKzaw,0.0,0.99,0.58963287,0.10408090800046921,Mowing the lawn
v_Eu3QFCldg0s,0.0,0.99,0.010586405,0.000384612,Walking the dog
v_gzVpwbiB9fE,0.0,0.99,0.083318606,0.014518469,Croquet
v_MXDeLfF5rok,0.0,0.99,0.14614587,0.022619009,Rafting
v_BSKolF3MMe4,0.0,0.99,0.58761823,0.30373862385749817,Mowing the lawn
v_i5-OVkjT0nM,0.0,0.99,0.08290027,0.011726638,Making a lemonade
v_re4vD9S8ThA,0.23,0.84,0.10867226,0.030278154,Using the monkey bar
v_BSKolF3MMe4,0.0,0.99,0.59026957,0.30373862385749817,Mowing the lawn
v_tjEMbP2SODQ,0.0,0.99,0.5627145,0.0720883384346962,Playing badminton
v_tjEMbP2SODQ,0.0,0.99,0.54066074,0.0720883384346962,Playing badminton
v__ZiTTLhXjZQ,0.09,0.98,0.54861295,0.4991201162338257,Cricket
v_CQocaUwWcQI,0.4,0.65,0.6444821,0.1975947618484497,High jump
v_47OMV7rZrQA,0.0,0.99,0.57339346,0.2867378294467926,Using parallel bars
v_RIr3Y2XS5NA,0.05,0.87,0.59812385,0.7838572263717651,Rafting
v_CRDBKk44RWg,0.0,0.99,0.5476326,0.29273542761802673,Playing beach volleyball
v_8wB0BOjuyes,0.0,0.99,0.50163704,0.020149001851677895,Using the monkey bar
v_nQQ-tcG6wBA,0.25,0.79,0.5542901,0.31793326139450073,Playing badminton
v_cIRMaWUTHuk,0.12,0.9,0.5488629,0.15690338611602783,Preparing pasta
v_4x0LdQRN248,0.0,0.99,0.008147946,0.0003842944,Fixing the roof
v_Mpph0kFsyZ0,0.36,0.38,0.5120477,0.24653808772563934,Cricket
v_PJgB6h-fImY,0.0,0.99,0.5765988,0.12161637842655182,Mowing the lawn
v_dJknA-jTNGc,0.05,0.9,0.66171557,0.8372235298156738,Rafting
v_SqIVJrXxO3g,0.15,0.84,0.6439413,0.26717087626457214,Rafting
v_Z47QGlaQ1NE,0.24,0.49,0.5799548,0.821453869342804,High jump
v_y2jDV7tFUXg,0.09,0.91,0.5367052,0.6744785308837891,Rafting
v_y2jDV7tFUXg,0.09,0.91,0.5292056,0.6744785308837891,Rafting
v_vXcfhKnUjRc,0.0,0.99,0.009576343,0.00038505212,Zumba
v_z-iuSgXKUcw,0.0,0.99,0.3599548,0.18409376,Playing violin
v_dJknA-jTNGc,0.05,0.97,0.5409765,0.8372235298156738,Rafting
v_6J0IdWi4O0Q,0.56,0.79,0.5469513,0.2600780129432678,Croquet
v_BrgYIg6UXhU,0.0,0.99,0.054778002,0.0059732245,Mowing the lawn
v_D-wP7_1A_Kw,0.0,0.99,0.07066322,0.016118327,Cricket
v_ujltXvkQK_g,0.0,0.99,0.46717176,0.066068135201931,Cricket
v_CRDBKk44RWg,0.09,0.98,0.5785773,0.29273542761802673,Playing beach volleyball
v_MXDeLfF5rok,0.0,0.99,0.56924623,0.25870785117149353,Rafting
v_y2jDV7tFUXg,0.09,0.97,0.63358325,0.6744785308837891,Rafting
v_9gU5be5YCVw,0.0,0.99,0.6160465,0.6810128688812256,Using parallel bars
v_QMm6gYzsMw8,0.24,0.95,0.53733104,0.33385223150253296,Zumba
v_Mpph0kFsyZ0,0.22,0.77,0.55977696,0.31437528133392334,Cricket
v_ED7SKNfAKyI,0.0,0.99,0.5986976,0.27505606412887573,Playing badminton
v_HuUIIKA3o_A,0.0,0.99,0.013887788,0.000523626,Mowing the lawn
v_UHNUmpx0nww,0.0,0.99,0.5505002,0.06832566112279892,High jump
v_Yd3G3732WbI,0.0,0.99,0.009751287,0.00038463404,Wrapping presents
v_Eu3QFCldg0s,0.0,0.99,0.00954827,0.000384612,Walking the dog
v_fvroOk6TpKk,0.0,0.99,0.036653772,0.002924467,High jump
v_IxaoK4TbALQ,0.0,0.99,0.009679434,0.00038494632,Grooming horse
v_6J0IdWi4O0Q,0.0,0.99,0.1549425,0.04993761,Croquet
v_nQQ-tcG6wBA,0.25,0.79,0.5353578,0.31793326139450073,Playing badminton
v_naCGjbEz1T8,0.0,0.99,0.5463257,0.38128307461738586,Having an ice cream
v_9gU5be5YCVw,0.05,0.84,0.5741332,0.6810128688812256,Using parallel bars
v_y2jDV7tFUXg,0.15,0.38,0.63147455,0.6744785308837891,Rafting
v_gd7SO0TQ-sY,0.0,0.99,0.20958899,0.1130147,Rafting
v_re4vD9S8ThA,0.0,0.99,0.14338468,0.04968303,Using the monkey bar
v_Zc7uU4Qwolc,0.0,0.99,0.0072612604,0.00038501382,Playing violin
v_tAgVokWkdnQ,0.0,0.99,0.5580217,0.08126339316368103,Playing badminton
v_y2jDV7tFUXg,0.09,0.91,0.53234524,0.6744785308837891,Rafting
v_cIRMaWUTHuk,0.0,0.99,0.5488629,0.15690338611602783,Preparing pasta
v_dJknA-jTNGc,0.22,0.49,0.5280359,0.8306601047515869,Rafting
v_MMVfzKCnpnI,0.05,0.97,0.5329406,0.271197646856308,Using the monkey bar
v_Qci4EFEIZuo,0.0,0.99,0.5859601,0.18445059657096863,Croquet
v_gzVpwbiB9fE,0.0,0.99,0.54644877,0.19219458103179932,Croquet
v_00KMCm2oGhk,0.57,0.96,0.53740144,0.3515952229499817,Using the monkey bar
v_2wcD0wSzB5w,0.0,0.99,0.019619443,0.0007365294,Using the monkey bar
v_gd7SO0TQ-sY,0.09,0.85,0.5884367,0.39286869764328003,Rafting
v_i0Z8I2WCLNk,0.0,0.99,0.009992626,0.00038484958,Blowing leaves
v_MMVfzKCnpnI,0.0,0.99,0.1454404,0.059946686,Using the monkey bar
v_Z47QGlaQ1NE,0.0,0.99,0.49419585,0.5963391,High jump
v_zwFxq1MnaO0,0.0,0.99,0.5568673,0.6423729658126831,Zumba
v_sy-xNiKnfBU,0.22,0.97,0.6360649,0.74728924036026,Waterskiing
v_rwxSphRRIL8,0.0,0.99,0.5553488,0.019621724262833595,Preparing salad
v_EXUKhI7WTqo,0.0,0.99,0.5405852,0.08026067912578583,Playing polo
v_Z47QGlaQ1NE,0.0,0.99,0.5799548,0.821453869342804,High jump
v_Auy0KGsXAIg,0.0,0.99,0.52376014,0.01962389424443245,Mowing the lawn
v_ED7SKNfAKyI,0.19,0.97,0.60790485,0.27505606412887573,Playing badminton
v_v621l04N1QQ,0.29,0.88,0.53502154,0.1600520759820938,Rafting
v_F7u4kpwhs5g,0.0,0.99,0.5736505,0.38038650155067444,High jump
v_QCeGGnd4QB0,0.1,0.95,0.5375485,0.6369070410728455,Playing badminton
v_naCGjbEz1T8,0.09,0.98,0.58708,0.38128307461738586,Having an ice cream
v_sY31L_r7dsk,0.0,0.99,0.044215623,0.002329225,Preparing pasta
v_oUdEoaKDHpA,0.0,0.99,0.55764097,0.10955967009067535,Using the monkey bar
v_CTWo9EfQ4Hc,0.0,0.99,0.31596833,0.20636027,High jump
v_CRDBKk44RWg,0.0,0.99,0.16226165,0.07568856,Playing beach volleyball
v_CTWo9EfQ4Hc,0.09,0.87,0.53605103,0.5315513014793396,High jump
v_dJknA-jTNGc,0.05,0.49,0.63240147,0.8306601047515869,Rafting
v_RTM6iJxc-G0,0.0,0.99,0.6037577,0.1409701704978943,Croquet
v_Yd3G3732WbI,0.0,0.99,0.010508779,0.00038463404,Wrapping presents
v_CSruNOwxCRY,0.15,0.97,0.54442114,0.2518177032470703,Croquet
v_IMto8gJvRek,0.0,0.99,0.477293,0.048274584114551544,Drinking coffee
v_MXDeLfF5rok,0.0,0.99,0.17404474,0.02121508,Rafting
v_MOvLBw1EzmI,0.05,0.97,0.58992827,0.4983847141265869,Mowing the lawn
v_Yi3xUQcaOnE,0.09,0.98,0.5858729,0.42492401599884033,Rafting
v_Zr8cz8QrBp4,0.0,0.99,0.00866346,0.00038481707,Croquet
v_lPCl1ZYH2xI,0.0,0.99,0.24140467,0.17229448,Mowing the lawn
v_C03QJbrKzaw,0.0,0.99,0.56128114,0.10408090800046921,Mowing the lawn
v_9gU5be5YCVw,0.05,0.96,0.6303319,0.6810128688812256,Using parallel bars
v_ED7SKNfAKyI,0.34,0.97,0.56753916,0.27505606412887573,Playing badminton
v_Zc7uU4Qwolc,0.0,0.99,0.44569436,0.019625268876552582,Playing violin
v_gd7SO0TQ-sY,0.0,0.99,0.25027528,0.112736195,Rafting
